crossrec_rate,rate_1200,rate_20,rate_40,rate_100,rate_200,rate_600,rate_1000,results_1000,results_600,results_200,results_100,results_40,results_20
1,4,2,1,2,1,2,1,0,0,0,0,0,0
6,4,4,9,10,4,10,9,1,1,0,1,1,0
1,1,1,1,1,1,1,1,0,0,0,0,0,0
1,1,1,1,1,1,1,1,0,0,0,0,0,0
6,17,19,2,17,7,14,14,0,0,0,0,0,1
5,1,1,12,10,1,12,1,0,1,0,1,1,0
1,1,1,1,13,13,1,1,0,0,1,1,0,0
2,10,10,10,10,10,10,10,0,0,0,0,0,0
4,8,5,12,3,3,12,8,0,1,0,0,1,0
2,1,2,2,1,2,2,2,1,1,1,0,1,1
15,16,16,16,16,16,16,16,0,0,0,0,0,0
1,1,1,1,9,1,1,1,0,0,0,1,0,0
3,3,2,2,3,2,2,2,0,0,0,0,0,0
10,18,18,18,18,18,18,19,1,0,0,0,0,0
0,5,0,0,5,0,0,0,0,0,0,0,0,0
14,12,12,12,12,12,12,18,1,0,0,0,0,0
3,0,8,2,3,10,3,4,1,1,1,1,1,1
4,2,2,1,2,2,1,2,0,0,0,0,0,0
3,0,15,15,15,15,0,0,0,0,1,1,1,1
2,1,1,2,2,2,2,1,0,1,1,1,1,0
2,5,5,5,2,5,5,6,1,0,0,0,0,0
0,3,3,3,3,3,3,3,0,0,0,0,0,0
1,1,1,1,1,1,1,1,0,0,0,0,0,0
2,2,15,15,2,15,12,15,1,1,1,0,1,1
5,16,14,16,16,14,16,16,0,0,0,0,0,0
4,1,3,1,1,1,3,14,1,1,0,0,0,1
4,16,16,16,16,16,16,16,0,0,0,0,0,0
4,14,14,14,14,14,14,17,1,0,0,0,0,0
0,4,4,0,4,0,4,0,0,0,0,0,0,0
2,3,2,3,4,2,3,3,0,0,0,1,0,0
4,1,3,13,3,14,1,3,1,0,1,1,1,1
2,4,16,2,5,5,5,2,0,1,1,1,0,1
13,17,12,12,12,12,12,12,0,0,0,0,0,0
0,2,2,2,2,2,2,2,0,0,0,0,0,0
2,7,7,5,5,7,7,5,0,0,0,0,0,0
1,12,1,12,12,1,13,13,1,1,0,0,0,0
0,1,1,1,1,1,1,1,0,0,0,0,0,0
1,9,1,2,9,1,1,1,0,0,0,0,0,0
3,9,9,9,3,9,9,9,0,0,0,0,0,0
1,7,7,7,7,1,7,1,0,0,0,0,0,0
9,1,14,1,1,14,16,9,1,1,1,0,0,1
3,4,4,4,3,4,4,4,0,0,0,0,0,0
7,6,6,6,6,6,6,6,0,0,0,0,0,0
1,1,1,8,8,1,8,1,0,1,0,1,1,0
15,10,10,10,10,10,9,9,0,0,0,0,0,0
0,9,9,0,9,9,9,0,0,0,0,0,0,0
0,3,0,0,3,0,0,0,0,0,0,0,0,0
2,9,2,2,9,5,2,5,0,0,0,0,0,0
10,5,5,5,5,5,5,5,0,0,0,0,0,0
1,3,3,3,3,3,3,3,0,0,0,0,0,0
2,0,15,0,15,0,0,15,1,0,0,1,0,1
0,0,0,0,8,0,0,0,0,0,0,1,0,0
2,2,4,2,2,3,2,4,1,0,1,0,0,1
1,3,3,3,3,1,1,1,0,0,0,0,0,0
1,1,1,1,1,10,1,10,1,0,1,0,0,0
1,1,1,1,11,1,1,1,0,0,0,1,0,0
3,2,2,2,3,2,2,5,1,0,0,1,0,0
10,12,3,3,4,3,16,3,0,1,0,0,0,0
10,3,3,19,3,3,3,3,0,0,0,0,1,0
9,5,2,10,10,10,5,10,1,0,1,1,1,0
1,1,4,4,4,1,4,4,1,1,0,1,1,1
1,3,1,3,3,3,3,1,0,0,0,0,0,0
1,1,1,1,5,1,1,1,0,0,0,1,0,0
3,3,4,4,3,4,3,4,1,0,1,0,1,1
1,15,15,15,15,15,15,1,0,0,0,0,0,0
2,2,0,0,2,0,0,0,0,0,0,0,0,0
1,5,1,5,5,1,1,1,0,0,0,0,0,0
1,5,5,1,5,1,5,5,0,0,0,0,0,0
4,19,19,16,1,1,1,1,0,0,0,0,0,0
3,3,18,18,3,18,18,18,1,1,1,0,1,1
0,2,2,0,2,2,2,2,0,0,0,0,0,0
1,3,3,3,3,1,3,1,0,0,0,0,0,0
9,19,12,19,12,19,4,19,0,0,0,0,0,0
1,1,1,1,15,1,1,1,0,0,0,1,0,0
3,12,12,12,3,12,11,4,0,0,0,0,0,0
1,7,7,7,7,7,7,1,0,0,0,0,0,0
4,11,5,11,13,13,13,5,0,1,1,1,0,0
14,13,11,11,11,11,11,11,0,0,0,0,0,0
3,9,9,9,9,9,9,9,0,0,0,0,0,0
3,6,6,11,6,6,11,11,1,1,0,0,1,0
1,1,10,1,10,1,1,1,0,0,0,1,0,1
6,8,8,8,18,18,8,15,1,0,1,1,0,0
5,0,3,3,7,3,4,0,0,1,1,1,1,1
13,8,8,8,8,8,8,8,0,0,0,0,0,0
3,6,6,6,6,1,6,6,0,0,0,0,0,0
6,1,4,1,1,1,4,4,1,1,0,0,0,1
