crossrec_rate,rate_0,rate_20,rate_40,rate_100,rate_200,rate_600,rate_1000,results_20,results_40,results_100,results_200,results_600,results_1000
8,12,15,12,2,15,15,15,0,0,1,0,0,0
7,4,3,3,3,0,4,4,1,1,1,1,0,0
16,17,17,14,17,17,17,17,0,1,0,0,0,0
11,14,16,12,16,14,16,12,0,1,0,0,0,1
17,19,11,11,11,18,11,11,1,1,1,1,1,1
5,7,9,9,9,2,4,9,0,0,0,1,1,0
4,6,6,2,10,6,2,3,0,1,0,0,1,1
9,5,6,5,5,6,6,6,0,0,0,0,0,0
11,10,16,10,10,16,18,18,0,0,0,0,0,0
4,9,14,17,17,9,17,16,0,0,0,0,0,0
1,8,8,8,1,1,1,1,0,0,1,1,1,1
15,14,11,11,11,11,12,11,1,1,1,1,1,1
1,4,1,4,1,1,2,1,1,0,1,1,1,1
3,1,3,2,2,2,2,2,0,0,0,0,0,0
5,6,1,1,1,3,6,3,1,1,1,1,0,1
11,14,18,18,18,18,12,18,0,0,0,0,1,0
2,14,11,11,2,11,3,11,1,1,1,1,1,1
2,6,1,1,1,1,1,1,1,1,1,1,1,1
4,2,2,9,9,2,1,9,0,0,0,0,1,0
9,19,10,2,11,13,13,11,1,1,1,1,1,1
4,1,11,11,2,2,2,5,0,0,0,0,0,0
8,15,15,3,13,13,13,5,0,1,1,1,1,1
5,2,3,3,15,3,15,3,0,0,0,0,0,0
11,19,17,9,9,7,7,10,1,1,1,1,1,1
18,19,8,16,8,8,16,8,1,1,1,1,1,1
5,1,5,5,5,5,5,10,0,0,0,0,0,0
5,0,12,2,5,2,2,4,0,0,0,0,0,0
8,5,5,5,6,6,8,13,0,0,0,0,0,0
14,18,19,18,19,19,15,15,0,0,0,0,1,1
11,12,3,17,19,12,12,6,1,0,0,0,0,1
9,6,8,4,18,6,6,6,0,1,0,0,0,0
2,5,2,5,5,2,5,5,1,0,0,1,0,0
12,6,18,8,18,18,18,18,0,0,0,0,0,0
1,6,17,17,1,0,1,0,0,0,1,1,1,1
5,16,5,16,13,5,5,13,1,0,1,1,1,1
1,5,1,1,1,1,1,1,1,1,1,1,1,1
13,7,7,7,7,8,8,7,0,0,0,0,0,0
3,2,10,5,2,3,5,2,0,0,0,0,0,0
13,9,11,11,7,9,12,11,0,0,1,0,0,0
6,7,7,5,5,7,7,6,0,1,1,0,0,1
12,18,7,11,11,19,11,11,1,1,1,0,1,1
0,3,0,0,0,0,0,0,1,1,1,1,1,1
19,19,3,3,3,3,3,3,1,1,1,1,1,1
5,8,14,14,19,19,5,14,0,0,0,0,1,0
1,5,5,5,5,5,5,5,0,0,0,0,0,0
13,15,17,17,17,17,17,17,0,0,0,0,0,0
2,15,1,1,1,2,1,1,1,1,1,1,1,1
3,11,1,1,1,1,1,1,1,1,1,1,1,1
4,6,2,4,2,4,2,2,1,1,1,1,1,1
1,10,1,1,1,1,10,1,1,1,1,1,0,1
1,2,6,1,1,1,1,1,0,1,1,1,1,1
1,2,6,1,1,1,1,1,0,1,1,1,1,1
2,16,2,12,16,1,16,16,1,1,0,1,0,0
7,3,6,4,4,2,4,2,0,0,0,1,0,1
4,16,4,11,6,2,4,4,1,1,1,1,1,1
1,12,12,12,14,12,0,12,0,0,0,0,1,0
10,16,15,1,15,15,15,1,1,1,1,1,1,1
6,3,8,9,9,13,13,9,0,0,0,0,0,0
15,18,18,18,16,18,16,16,0,0,1,0,1,1
3,2,8,8,8,18,1,8,0,0,0,0,1,0
7,11,5,1,5,1,1,11,1,1,1,1,1,0
14,8,8,19,9,9,9,15,0,0,0,0,0,0
5,15,15,5,13,4,15,4,0,1,1,1,0,1
17,4,19,18,18,19,19,19,0,0,0,0,0,0
16,17,17,8,17,17,8,17,0,1,0,0,1,0
14,10,16,10,10,16,10,10,0,0,0,0,0,0
3,1,8,8,8,8,8,8,0,0,0,0,0,0
2,6,0,9,9,6,6,9,1,0,0,0,0,0
7,5,14,4,4,10,17,14,0,1,1,0,0,0
13,18,18,10,18,10,10,18,0,1,0,1,1,0
17,9,10,10,10,10,10,10,0,0,0,0,0,0
2,4,4,3,4,2,3,4,0,1,0,1,1,0
14,17,7,7,7,7,7,7,1,1,1,1,1,1
8,14,14,10,14,14,14,18,0,1,0,0,0,0
11,3,6,3,7,6,6,6,0,0,0,0,0,0
0,1,1,1,1,1,1,1,0,0,0,0,0,0
3,9,18,18,18,18,18,18,0,0,0,0,0,0
19,19,15,15,15,15,15,15,1,1,1,1,1,1
13,11,17,19,4,19,7,4,0,0,1,0,1,1
7,6,9,4,17,9,9,9,0,1,0,0,0,0
6,15,15,4,15,15,14,15,0,1,0,0,1,0
15,17,12,14,13,13,14,12,1,1,1,1,1,1
7,4,11,1,1,1,1,1,0,1,1,1,1,1
4,1,1,15,15,15,15,15,0,0,0,0,0,0
7,1,8,4,8,5,5,17,0,0,0,0,0,0
18,19,16,16,16,16,16,16,1,1,1,1,1,1
13,10,4,4,4,4,4,4,1,1,1,1,1,1
17,8,11,9,11,11,9,9,0,0,0,0,0,0
4,5,11,5,5,11,11,5,0,0,0,0,0,0
19,19,15,15,18,15,18,15,1,1,1,1,1,1
6,12,12,18,12,6,10,6,0,0,0,1,1,1
3,8,1,1,7,1,1,1,1,1,1,1,1,1
5,13,5,13,9,5,9,5,1,0,1,1,1,1
15,18,17,11,11,11,11,11,1,1,1,1,1,1
6,11,2,17,11,11,11,11,1,0,0,0,0,0
18,19,15,15,15,15,16,15,1,1,1,1,1,1
10,15,15,2,2,15,2,15,0,1,1,0,1,0
0,5,0,0,0,4,0,0,1,1,1,1,1,1
1,16,6,16,16,16,16,16,1,0,0,0,0,0
5,8,7,16,16,8,5,8,1,0,0,0,1,0
6,5,13,6,8,13,8,14,0,0,0,0,0,0
7,9,3,14,2,3,14,2,1,0,1,1,0,1
2,0,1,1,1,1,1,4,0,0,0,0,0,0
2,19,19,19,19,19,2,13,0,0,0,0,1,1
14,15,11,4,4,12,11,19,1,1,1,1,1,0
4,5,18,4,8,14,8,8,0,1,0,0,0,0
19,19,9,9,9,9,9,9,1,1,1,1,1,1
16,11,18,18,18,12,18,18,0,0,0,0,0,0
6,0,11,11,11,11,11,11,0,0,0,0,0,0
12,14,4,4,4,4,4,4,1,1,1,1,1,1
6,13,3,3,3,3,3,3,1,1,1,1,1,1
19,19,18,18,18,18,18,18,1,1,1,1,1,1
7,5,7,6,5,5,5,6,0,0,0,0,0,0
19,19,10,10,15,15,15,10,1,1,1,1,1,1
11,8,8,6,8,8,8,8,0,1,0,0,0,0
10,14,6,6,6,6,6,6,1,1,1,1,1,1
1,3,3,1,3,3,3,3,0,1,0,0,0,0
10,2,2,8,2,8,8,2,0,0,0,0,0,0
3,16,16,16,16,2,16,16,0,0,0,1,0,0
13,17,17,17,6,6,6,17,0,0,1,1,1,0
10,18,18,18,18,18,12,18,0,0,0,0,1,0
8,19,5,19,19,9,9,9,1,0,0,1,1,1
9,13,11,11,11,11,11,11,1,1,1,1,1,1
1,2,1,1,1,1,1,1,1,1,1,1,1,1
13,8,6,6,6,4,4,6,1,1,1,1,1,1
