crossrec_rate,rate_1200,rate_20,rate_40,rate_100,rate_200,rate_600,rate_1000,results_1000,results_600,results_200,results_100,results_40,results_20
2,2,2,1,1,1,1,1,0,0,0,0,0,0
12,1,1,0,15,1,15,0,0,1,0,1,0,0
5,9,1,9,9,9,6,6,0,0,0,0,0,0
1,1,1,1,1,1,1,1,0,0,0,0,0,0
0,0,0,0,0,0,0,5,1,0,0,0,0,0
10,15,16,15,15,13,16,16,1,1,0,0,0,1
2,14,2,14,3,14,14,14,0,0,0,0,0,0
3,5,5,3,5,19,5,5,0,0,1,0,0,0
1,17,17,17,17,17,17,1,0,0,0,0,0,0
2,7,7,7,7,7,7,2,0,0,0,0,0,0
6,3,13,13,12,7,13,12,1,1,1,1,1,1
3,0,0,2,0,0,0,0,0,0,0,0,1,0
1,1,1,1,1,1,1,1,0,0,0,0,0,0
1,0,0,3,3,3,3,1,1,1,1,1,1,0
2,12,11,11,0,12,11,2,0,0,0,0,0,0
2,4,4,4,4,4,4,4,0,0,0,0,0,0
1,1,8,9,5,1,0,1,0,0,0,1,1,1
5,5,1,19,7,9,7,17,1,1,1,1,1,0
2,1,2,12,12,1,0,2,1,0,0,1,1,1
6,9,17,1,1,15,2,2,0,0,1,0,0,1
1,1,1,1,1,1,1,1,0,0,0,0,0,0
7,2,14,14,2,2,14,2,0,1,0,0,1,1
1,1,5,0,1,1,1,4,1,0,0,0,0,1
4,1,1,1,3,3,3,1,0,1,1,1,0,0
1,2,2,1,1,1,1,1,0,0,0,0,0,0
2,2,2,18,18,18,18,18,1,1,1,1,1,0
0,0,0,0,0,0,0,14,1,0,0,0,0,0
7,2,9,9,1,1,1,8,1,0,0,0,1,1
1,0,0,0,0,0,0,1,1,0,0,0,0,0
7,4,8,9,6,8,4,0,0,0,1,1,1,1
1,7,7,1,1,7,1,7,0,0,0,0,0,0
4,12,9,9,9,9,9,9,0,0,0,0,0,0
3,2,2,2,2,2,2,2,0,0,0,0,0,0
0,0,0,0,0,0,0,4,1,0,0,0,0,0
9,15,7,11,6,6,6,7,0,0,0,0,0,0
7,13,2,10,10,1,2,2,0,0,0,0,0,0
1,1,1,1,1,1,1,1,0,0,0,0,0,0
2,6,6,10,6,6,6,2,0,0,0,0,1,0
2,0,7,7,0,7,0,0,0,0,1,0,1,1
10,14,12,14,14,12,12,7,0,0,0,0,0,0
4,2,2,9,2,10,9,10,1,1,1,0,1,0
3,1,15,15,15,15,15,1,0,1,1,1,1,1
1,2,2,2,5,2,5,2,0,1,0,1,0,0
2,7,7,7,7,7,7,2,0,0,0,0,0,0
1,19,19,1,19,19,0,19,0,0,0,0,0,0
10,3,3,4,7,5,4,6,1,1,1,1,1,0
2,3,0,3,3,0,3,3,0,0,0,0,0,0
3,2,2,1,2,2,2,2,0,0,0,0,0,0
3,18,18,18,18,1,18,1,0,0,0,0,0,0
4,1,13,1,18,18,13,0,0,1,1,1,0,1
0,1,1,0,1,1,1,1,0,0,0,0,0,0
11,1,4,3,4,1,1,16,1,0,0,1,1,1
3,4,8,5,7,7,8,8,1,1,1,1,1,1
18,9,9,14,9,9,9,14,1,0,0,0,1,0
1,1,1,1,1,1,1,1,0,0,0,0,0,0
1,1,1,3,1,1,1,1,0,0,0,0,1,0
15,18,8,5,5,8,8,18,0,0,0,0,0,0
18,10,19,10,19,10,10,10,0,0,0,1,0,1
10,15,8,7,5,8,8,3,0,0,0,0,0,0
0,2,0,0,0,0,0,0,0,0,0,0,0,0
4,18,18,7,18,18,18,18,0,0,0,0,0,0
7,6,0,9,0,0,0,9,1,0,0,0,1,0
3,7,2,7,2,2,3,7,0,0,0,0,0,0
1,2,1,0,1,1,1,1,0,0,0,0,0,0
8,5,5,4,4,5,4,5,0,0,0,0,0,0
0,5,5,0,0,5,0,5,0,0,0,0,0,0
11,3,16,3,13,13,9,16,1,1,1,1,0,1
1,5,5,5,5,5,5,5,0,0,0,0,0,0
8,12,5,0,2,5,9,9,0,0,0,0,0,0
11,4,4,10,4,4,4,4,0,0,0,0,1,0
1,1,1,0,0,1,1,1,0,0,0,0,0,0
9,14,13,13,3,3,3,13,0,0,0,0,0,0
8,14,3,13,13,13,13,13,0,0,0,0,0,0
8,7,19,7,7,2,7,18,1,0,0,0,0,1
4,12,8,0,13,8,6,0,0,0,0,1,0,0
3,4,9,9,4,4,4,4,0,0,0,0,1,1
2,3,3,3,3,0,0,2,0,0,0,0,0,0
7,3,4,7,5,3,5,5,1,1,0,1,1,1
7,10,16,2,2,10,13,16,1,1,0,0,0,1
1,1,1,2,1,1,1,1,0,0,0,0,1,0
9,11,5,8,10,5,8,11,0,0,0,0,0,0
19,18,9,18,18,9,18,9,0,0,0,0,0,0
1,1,1,0,1,1,0,2,1,0,0,0,0,0
0,15,15,0,0,15,0,0,0,0,0,0,0,0
6,7,14,14,13,14,7,1,0,0,1,1,1,1
12,16,5,11,16,11,16,16,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,5,5,2,5,5,2,5,0,0,0,0,0,0
1,1,1,0,4,1,4,0,0,1,0,1,0,0
2,2,2,2,1,1,8,1,0,1,0,0,0,0
1,1,1,0,4,0,0,1,0,0,0,1,0,0
7,8,11,12,10,12,11,6,0,1,1,1,1,1
5,4,11,10,17,17,17,8,1,1,1,1,1,1
1,1,1,1,0,1,1,1,0,0,0,0,0,0
15,8,8,8,17,8,8,8,0,0,0,1,0,0
2,12,2,0,5,12,12,2,0,0,0,0,0,0
0,0,1,0,0,0,0,1,1,0,0,0,0,1
1,0,0,0,0,0,0,8,1,0,0,0,0,0
0,0,0,0,0,0,0,1,1,0,0,0,0,0
1,1,1,1,1,1,1,1,0,0,0,0,0,0
2,0,0,2,0,0,0,2,1,0,0,0,1,0
1,1,1,0,2,1,1,0,0,0,0,1,0,0
2,3,0,0,3,0,3,3,0,0,0,0,0,0
2,3,3,3,3,3,3,3,0,0,0,0,0,0
2,14,2,14,14,14,14,14,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0,0,1,0
6,4,18,17,17,17,4,18,1,0,1,1,1,1
5,14,14,12,14,13,14,12,0,0,0,0,0,0
6,4,4,9,4,6,9,6,1,1,1,0,1,0
14,2,15,16,15,15,15,15,1,1,1,1,1,1
0,4,4,0,4,4,4,4,0,0,0,0,0,0
8,7,15,14,7,15,6,18,1,0,1,0,1,1
1,1,1,0,0,1,1,3,1,0,0,0,0,0
9,15,2,0,7,1,0,19,1,0,0,0,0,0
7,4,4,4,2,4,4,4,0,0,0,0,0,0
0,0,17,0,0,0,0,18,1,0,0,0,0,1
1,1,2,2,1,1,2,3,1,1,0,0,1,1
1,1,1,6,0,1,1,1,0,0,0,0,1,0
1,1,1,0,0,1,1,4,1,0,0,0,0,0
1,12,1,1,1,1,1,12,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,1,0
3,1,1,1,1,1,1,1,0,0,0,0,0,0
3,6,2,2,2,2,2,6,0,0,0,0,0,0
2,1,1,2,1,1,6,6,1,1,0,0,1,0
2,1,1,1,1,5,1,1,0,0,1,0,0,0
6,9,1,1,1,1,1,9,0,0,0,0,0,0
2,2,2,1,4,1,1,1,0,0,0,1,0,0
3,16,2,2,2,2,2,2,0,0,0,0,0,0
0,1,1,1,1,1,1,1,0,0,0,0,0,0
6,17,4,3,4,4,4,19,1,0,0,0,0,0
2,3,5,3,0,0,0,0,0,0,0,0,0,1
2,2,6,2,6,2,6,6,1,1,0,1,0,1
1,1,8,1,1,1,1,1,0,0,0,0,0,1
1,3,1,3,1,3,1,3,0,0,0,0,0,0
