crossrec_rate,rate_0,rate_20,rate_40,rate_100,rate_200,rate_600,rate_1000,results_20,results_40,results_100,results_200,results_600,results_1000
8,15,18,15,4,18,6,4,0,0,1,0,1,1
8,6,16,6,6,16,6,6,0,0,0,0,0,0
7,5,10,8,6,6,8,6,0,0,0,0,0,0
1,2,2,2,2,2,1,2,0,0,0,0,1,0
2,11,18,2,2,2,18,2,0,1,1,1,0,1
2,9,2,2,2,2,2,2,1,1,1,1,1,1
13,3,5,3,3,2,19,5,0,0,0,1,0,0
6,13,11,8,16,11,13,11,1,1,0,1,0,1
3,17,3,2,2,2,5,2,1,1,1,1,1,1
9,19,19,3,2,2,19,3,0,1,1,1,0,1
15,13,14,2,14,8,14,8,0,1,0,1,0,1
2,5,2,2,2,2,5,2,1,1,1,1,0,1
6,7,3,3,3,3,6,3,1,1,1,1,1,1
2,4,2,2,2,2,15,2,1,1,1,1,0,1
6,9,9,5,12,5,4,5,0,1,0,1,1,1
1,2,2,2,0,0,1,0,0,0,1,1,1,1
6,2,5,5,5,2,2,2,0,0,0,0,0,0
14,8,13,8,13,13,8,8,0,0,0,0,0,0
4,6,6,6,6,1,9,6,0,0,0,1,0,0
15,19,9,9,9,9,9,9,1,1,1,1,1,1
9,3,13,13,13,6,15,6,0,0,0,0,0,0
8,15,15,12,12,12,12,12,0,1,1,1,1,1
7,17,5,1,5,5,7,5,1,1,1,1,1,1
4,5,5,5,19,19,19,5,0,0,0,0,0,0
10,6,5,6,5,6,5,6,1,0,1,0,1,0
8,13,13,11,11,13,11,13,0,1,1,0,1,0
7,18,11,15,3,15,11,15,1,1,1,1,1,1
4,15,3,3,3,3,1,3,1,1,1,1,1,1
4,3,10,4,4,4,10,4,0,0,0,0,0,0
9,4,8,8,8,8,8,8,0,0,0,0,0,0
1,2,2,2,2,2,2,2,0,0,0,0,0,0
5,4,5,4,4,4,1,4,0,0,0,0,1,0
3,0,5,5,5,5,5,5,0,0,0,0,0,0
1,2,3,3,3,3,3,3,0,0,0,0,0,0
9,10,8,5,8,8,3,8,1,1,1,1,1,1
15,11,19,19,19,19,19,19,0,0,0,0,0,0
4,6,4,4,4,4,3,6,1,1,1,1,1,0
7,13,2,2,2,2,6,2,1,1,1,1,1,1
14,9,13,9,9,13,8,9,0,0,0,0,1,0
8,16,14,15,14,14,18,12,1,1,1,1,0,1
1,10,10,10,10,10,10,10,0,0,0,0,0,0
13,17,15,15,17,17,15,15,1,1,0,0,1,1
5,15,18,18,18,18,15,15,0,0,0,0,0,0
11,14,8,5,4,5,4,5,1,1,1,1,1,1
5,6,4,11,11,6,4,11,1,0,0,0,1,0
18,15,13,13,13,13,13,13,1,1,1,1,1,1
18,8,17,17,8,17,17,8,0,0,0,0,0,0
7,19,18,12,18,18,18,18,1,1,1,1,1,1
8,16,10,10,10,10,10,10,1,1,1,1,1,1
11,9,8,17,16,17,8,17,1,0,0,0,1,0
